Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A3v2 translation score,latxa_8b_instruct | P5 GRPO A3v5 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Adequacy,bleu,higher is better,,11.64489996300887,10.406244896196046,9.615947333317724,9.674607700054725,7.975887547586334,9.639317810375145,13.241445283952611,11.436081201089136,10.902368237048346,10.390453427609568
Adequacy,chrf pp,higher is better,,42.67241763956089,41.030324326558656,43.668084693770744,43.6498051161596,42.771317246805665,42.14339713844768,43.57855044203853,42.006421925699286,44.254514955688265,43.13078917323635
Adequacy,comet,higher is better,,0.7562256222248077,0.7607251337528229,0.792469011747837,0.7902547646820545,0.7798278693914413,0.7939865473747253,0.7727973971605301,0.7633051560997963,0.7891145856261254,0.7876704986929893
Adequacy,comet qe,higher is better,0.5662775148667395,0.6064716829150916,0.613359038419649,0.6898796315908432,0.6840356216192246,0.6698066316783429,0.6699383979290724,0.6324270294114948,0.6148396063987166,0.675879714807868,0.6613595158591866
Adequacy,cometkiwi,higher is better,0.5662775148667395,0.6064716829150916,0.613359038419649,0.6898796315908432,0.6840356216192246,0.6698066316783429,0.6699383979290724,0.6324270294114948,0.6148396063987166,0.675879714807868,0.6613595158591866
Adequacy,metricx,lower is better,,6.398473597800732,6.031603909790516,4.853348186016083,4.9343300875544545,5.377831954407692,4.95914983112812,5.571870948392153,5.8436878275215625,4.790602653127909,4.942538210612535
Adequacy,ter,lower is better,,82.12549141320092,86.68011587006,92.66759776536313,91.96668735774881,93.96596316987379,88.72594661700806,81.65994206497,85.58090213118146,91.32009104076143,89.80705565901097
Adequacy,xcomet,higher is better,,0.6407390616416931,0.656885616389662,0.7095483608469367,0.7055218980148434,0.5403501260533928,0.7041229417413473,0.6895020983099938,0.66934740421772,0.7130725065588951,0.7028233525723219
Astred,aligned source ratio,,,0.8612172305691371,0.8502789473793488,0.7858080045377706,0.7886916256357674,0.720413445149691,0.8198262840629648,0.8690493056875237,0.8593072325536297,0.7964164022944209,0.8220487859601637
Astred,aligned target ratio,,,0.852884454406428,0.835019963181741,0.884150704955305,0.8841092657173819,0.8815646914127933,0.8675121927174069,0.8576974424657703,0.8445535438196571,0.8820906862769026,0.8712971547446328
Astred,aligned word pairs,,,16.595621643948782,15.90981543624161,16.863851788022405,16.74590869939707,17.571829480155017,16.026436498772817,16.05276235249574,16.27683381682553,16.735583084152072,16.268134715025905
Astred,rows eligible,,,2421.0,2384.0,2321.0,2322.0,2138.0,2297.0,2392.0,2413.0,2341.0,2316.0
Astred,rows excluded sentence count mismatch,,,79.0,116.0,179.0,178.0,362.0,203.0,108.0,87.0,159.0,184.0
Astred,rows failed,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astred,rows scored,,,2421.0,2384.0,2321.0,2322.0,2138.0,2297.0,2392.0,2413.0,2341.0,2316.0
Astred,rows scored multisentence,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Astred,rows total,,,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Astred,sacr cross,lower means closer to reference structure,,13.527881040892193,15.124580536912752,16.360189573459717,15.248062015503876,17.97176934384605,14.866511454764566,11.83879440903641,15.238292581848322,15.620247757368645,15.696891191709845
Astred,sentence pairs scored,,,2421.0,2384.0,2321.0,2322.0,2139.0,2298.0,2393.0,2413.0,2341.0,2316.0
Astred,seq cross,lower means closer to reference structure,,11.295332507228418,12.906879194630873,13.785006462731582,12.763996554694229,15.067051984498196,12.56597452253412,9.61899728655266,12.833816825528388,12.979923109782144,13.099740932642487
Astred,ted,lower means closer to reference structure,,13.28376703841388,14.383808724832214,14.494183541576907,14.520241171403962,16.114593077642656,13.548188248061429,12.829498485517764,14.322420223787816,14.483126868859461,13.978842832469775
Astred,word cross,lower means closer to reference structure,,18.036348616274267,19.603607382550337,21.488582507539853,20.340654608096468,23.39613123078979,19.32298587319314,16.616201015965164,19.844591794446746,20.939342161469458,20.528929188255614
Astred Source Prediction,aligned source ratio,,,0.7063946201393787,0.6725863676852515,0.722438544213332,0.7222842814643234,0.713372070307188,0.7019575837715709,0.6985381800449404,0.6779483535419746,0.713188326184916,0.700810371325543
Astred Source Prediction,aligned target ratio,,,0.8012033998459597,0.7821013119175875,0.7244968799301946,0.7288363927401601,0.6577886406152805,0.7511388891517047,0.801751918053747,0.7823354093769762,0.7260678456560582,0.7444362745451217
Astred Source Prediction,aligned word pairs,,,16.70148637489678,15.72338642078793,16.617140396210164,16.527765820060267,17.180542563143124,15.75620374401393,15.948996655518394,16.021946169772256,16.41741357234315,15.946074201898188
Astred Source Prediction,rows eligible,,,2422.0,2386.0,2322.0,2323.0,2138.0,2297.0,2392.0,2415.0,2343.0,2318.0
Astred Source Prediction,rows excluded sentence count mismatch,,,78.0,114.0,178.0,177.0,362.0,203.0,108.0,85.0,157.0,182.0
Astred Source Prediction,rows failed,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astred Source Prediction,rows scored,,,2422.0,2386.0,2322.0,2323.0,2138.0,2297.0,2392.0,2415.0,2343.0,2318.0
Astred Source Prediction,rows scored multisentence,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astred Source Prediction,rows total,,,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
