Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P1 translation score,latxa_8b_instruct | P2 translation score,latxa_8b_instruct | P3 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A0 translation score,latxa_8b_instruct | P5 GRPO A1 translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A3 translation score,latxa_8b_instruct | P5 GRPO A4 translation score,latxa_8b_instruct | P5 GRPO A3v2 translation score,latxa_8b_instruct | P5 GRPO A3v3 translation score,latxa_8b_instruct | P5 GRPO A3v4 translation score,latxa_8b_instruct | P5 GRPO A3v5 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A0 translation score,salamandrata_7b_instruct | P5 GRPO A1 translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A3 translation score,salamandrata_7b_instruct | P5 GRPO A4 translation score,salamandrata_7b_instruct | P5 GRPO A3v2 translation score,salamandrata_7b_instruct | P5 GRPO A3v3 translation score,salamandrata_7b_instruct | P5 GRPO A3v4 translation score,salamandrata_7b_instruct | P5 GRPO A3v5 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Adequacy,bleu,higher is better,,33.41757950555676,33.66835347460721,33.25456499952206,31.226181266727078,38.83714408193083,39.108813866437345,39.227388257286385,38.35248012201402,36.046280759758794,38.011013315726565,38.09744663177633,38.04102795868106,36.15051363179493,35.15333362445877,39.548618447266904,45.32645220390813,44.151565159792476,44.92980799804742,45.09202645282391,44.34869119783644,42.087732634614575,42.566447598680796,44.81004789200843,44.408383502778165,34.86984627087426,37.32069667788568,44.21821880770644
Adequacy,chrf pp,higher is better,,57.917930023585825,58.19224480434435,58.07077382302529,56.381746891996386,62.04118002686629,62.76017480226363,62.83515629474997,62.399069333453696,61.111431548866676,61.80910915774081,62.29105887474553,62.13855558770487,60.902415927354184,56.4666064302112,62.70203758144199,66.55356586389667,65.99903782177144,66.61305716567713,66.72826661493959,66.15884889751192,65.90386845684158,66.1388230007664,66.48367191952926,66.2802231599641,61.512939700719606,62.48636906670174,66.18414160459571
Adequacy,comet,higher is better,,0.8401215390077693,0.8454367171516531,0.8491117458628572,0.8444307210004848,0.8653346552208007,0.8730501955735824,0.874129813179197,0.8738444971708441,0.8644030697849899,0.8693890711182191,0.8729539121917114,0.870932282165812,0.8719895373985701,0.8270852992627696,0.8696093538650882,0.8886196145073698,0.8787887366451764,0.8818847270233358,0.8823667132689548,0.8839243294104285,0.8679682550576364,0.8674637801032292,0.8831094577025048,0.8815468845984681,0.8404533629390326,0.8610601534426447,0.8785908290520016
Adequacy,comet qe,higher is better,0.778778609057719,0.72561411679034,0.7339997601018033,0.7408380048964246,0.7336730469283261,0.7664486009318366,0.7834994536732497,0.7826700588695616,0.78402092225349,0.7606418346875741,0.7735926312773596,0.7836449690192584,0.781002155641322,0.773407941279204,0.7298524289920175,0.7744794522702929,0.8022108328318879,0.7842690361582715,0.7892909748516536,0.7897149174816523,0.791596400142894,0.768930203881365,0.7684563380691845,0.7917195999398533,0.7891347965174041,0.7714612864900248,0.7665936512828403,0.7831280197830421
Adequacy,cometkiwi,higher is better,0.778778609057719,0.72561411679034,0.7339997601018033,0.7408380048964246,0.7336730469283261,0.7664486009318366,0.7834994536732497,0.7826700588695616,0.78402092225349,0.7606418346875741,0.7735926312773596,0.7836449690192584,0.781002155641322,0.773407941279204,0.7298524289920175,0.7744794522702929,0.8022108328318879,0.7842690361582715,0.7892909748516536,0.7897149174816523,0.791596400142894,0.768930203881365,0.7684563380691845,0.7917195999398533,0.7891347965174041,0.7714612864900248,0.7665936512828403,0.7831280197830421
Adequacy,metricx,lower is better,,4.444908616011557,4.343964254638188,4.0652031647004625,4.122458652928177,3.4136678329098364,3.0461213960212916,3.0607943584325286,3.0153423683209852,3.3752088062023455,3.2134598652305812,3.0091309964715727,3.077387374763197,3.0571310577008566,3.557411372425999,3.241188580427952,2.1976488371317093,2.646639564232864,2.5738504848520276,2.5507729971126136,2.4497164587670635,2.943275935918446,3.0225828295286465,2.480072814014118,2.5380789159609396,2.7450500973776397,2.9922475995341307,2.678860990779673
Adequacy,ter,lower is better,,53.77814162914449,53.87228817028243,54.67458043389275,55.45640605812525,46.84813753581662,47.130577159230455,46.856324191567744,48.1498158002456,49.59476054031928,48.194842406876795,48.28080229226361,48.40769545640606,51.293491608677854,52.881702824396235,46.197298403602126,41.436758084322555,42.68522308636922,42.33319688907081,42.08759721653704,42.86123618501842,46.29553827261564,45.77977896029472,42.46418338108883,42.7752762996316,53.33196889070815,49.43102742529676,42.39869013507982
Adequacy,xcomet,higher is better,,0.8440597283970491,0.852169150142404,0.8578673875780238,0.8514188068399846,0.8950713735603886,0.9116972910604723,0.9120340791379982,0.916891889698185,0.9050099975742371,0.9056722849327703,0.913419282100653,0.9092202383892338,0.9096653379128119,0.8721819367009425,0.9038326315316758,0.9492719025892231,0.9293855775015156,0.9323054603908373,0.9331084503368898,0.9375848852304131,0.911738020261168,0.9097012412171119,0.9362589398568327,0.935046570132608,0.9186707005611522,0.9063065740548575,0.9287908097559755
Astred,aligned source ratio,,,0.9008930397867675,0.8994363355979181,0.8946438532152301,0.8865682593378,0.9111514976877403,0.9050411247464258,0.9085258302989139,0.8983672435908704,0.8764067524043097,0.9019828948148719,0.8980876079735357,0.8960546822549781,0.8867629955711386,0.8345670904093819,0.9117518675480867,0.9184285710871156,0.9145466805743703,0.9128579457526369,0.9129560569620959,0.9108759237633197,0.8740414617790957,0.8775325393124926,0.9119559655209014,0.911198866732,0.8021543393817504,0.8381596524633173,0.916446533251465
Astred,aligned target ratio,,,0.8763031385065969,0.8812866253637401,0.8783649128969866,0.8630903640817505,0.8965201819347737,0.9049469459279783,0.9045045225288346,0.9029111384656215,0.8986983011185291,0.9028393846811364,0.9044128435715352,0.9031600678712276,0.8663763329077051,0.8678442735416878,0.9001699971960552,0.9083008884313493,0.907781897872923,0.9107348755420833,0.9107589485481539,0.9113847687196714,0.9104755820431121,0.9115660627159005,0.910360203675092,0.9098268773451045,0.8408828817119072,0.8734979837139785,0.9060815205873691
